"Tytuł projektu";"Kierownik projektu";"Data rozpoczęcia realizacji projektu";"Termin zakończenia";"Instytucja finansująca";"Środki finansowe ogółem (PLN)";"Rodzaj projektu";"Nazwa programu";"Instytucja/Jednostka realizująca";"Adres jednostki realizującej";"Status projektu";
"Badania zbiorników wysokociśnieniowych zgodnie z normą ECE R134 5.2 Badania weryfikacyjne pod względem trwałości eksploatacyjnej (testy sekwencyjne hydrauliczne).";"prof. dr hab. JERZY ZBIGNIEW KALETA";"2018-05-17";"2018-08-31";"
    •  środki przedsiębiorstw krajowych

";;"Inne programy";"Inny program (środki przedsiębiorstw krajowych)";"
    •  Politechnika Wrocławska; Wydział Mechaniczny

";"
    •  Ignacego Łukasiewicza 5, Wrocław

";"W trakcie realizacji";
"Wykorzystanie danych z misji typu GRACE wraz z danymi GNSS z sieci typu CORS do wyznaczenia czasowych zmian rozkładu mas w systemie Ziemia w skali regionalnej/lokalnej";"dr Walyeldeen Godah";"2018-05-17";"2020-05-16";"
    •  budżet - NCN

";351150;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA; edycja 13";"
    •  Instytut Geodezji i Kartografii

";"
    •  Jacka Kaczmarskiego 27, Warszawa

";"W trakcie realizacji";
"Badanie zestawu farb maskujących akrylowych SCREEN";"mgr inż. Bogusława SZCZODROWSKA";"2018-05-16";"2020-05-16";"
    •  środki przedsiębiorstw krajowych

";;"Inne programy";"Inny program (inny)";"
    •  Wojskowy Instytut Techniki Inżynieryjnej im. profesora Józefa Kosackiego

";"
    •  Obornicka 136, Wrocław

";"W trakcie realizacji";
"Funkcjonowanie przybrzeżnych ekosystemów południowego Bałtyku zróżnicowanych pod względem antropopresji - w poszukiwaniu powiązań pomiędzy zespołami bentosowymi a procesami biogeochemicznymi (COmEBACk)";"dr hab. Monika Kędra";"2018-05-16";"2022-05-15";"
    •  budżet - NCN

";1998400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA BIS; edycja 7";"
    •  Instytut Oceanologii Polskiej Akademii Nauk

";"
    •  Powstańców Warszawy 55, Sopot

";"W trakcie realizacji";
"Wspólne dziedzictwo polsko-saskie. Polonica w zbiorach rysunków architektonicznych z XVIII w. w Dreźnie";"dr hab. Jakub Sito";"2018-05-15";"2023-05-15";"
    •  budżet - MNiSW

";1112280;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki; konkurs 85";"
    •  Instytut Sztuki Polskiej Akademii Nauk

";"
    •  Długa 26/28, Warszawa

";"W trakcie realizacji";
"Polska Pieśń i Muzyka Ludowa. Źródła i materiały. Podlasie, Kurpie. Kontynuacja";"dr Weronika Maria Grozdew-Kołacińska";"2018-05-15";"2023-05-15";"
    •  budżet - MNiSW

";1200625;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki; konkurs 85";"
    •  Instytut Sztuki Polskiej Akademii Nauk

";"
    •  Długa 26/28, Warszawa

";"W trakcie realizacji";
"Polska-Rosja w kulturze muzycznej XIX i I połowy XX wieku. Badania żródłowe i analiza zjawisk w sferze bilateralnych kontaktów artystycznych.";"dr hab. Renata Suchowiejko";"2018-05-15";"2023-05-15";"
    •  budżet - MNiSW

";711428;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki; konkurs 85";"
    •  Uniwersytet Jagielloński w Krakowie; Wydział Historyczny

";"
    •  Gołębia 24, Kraków

";"W trakcie realizacji";
"Krytyczna edycja źródłowa III i IV tomu Dziennika czynności naczelnego wodza gen. Władysława Sikorskiego 1939-1943";"dr hab. Jarosław Rabiński";"2018-05-15";"2023-05-15";"
    •  budżet - MNiSW

";761420;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki; konkurs 85";"
    •  Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie; Wydział Nauk Humanistycznych

";"
    •  Racławickie 14, Lublin

";"W trakcie realizacji";
"Materiały do Korpusu Portretu Staropolskiego. Etap 2.: litery D – M.";"dr hab. Przemysław Stanisław Mrozowski";"2018-05-15";"2023-05-14";"
    •  budżet - MNiSW

";830714;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki";"
    •  Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie; Wydział Nauk Historycznych i Społecznych

";"
    •  Kazimierza Wóycickiego 1/3/bud 23, Warszawa

";"W trakcie realizacji";
"PnH: Personalizowana diagnostyka obrazowa oka (IMCUSTOMEYE)";"prof. dr hab.. Maciej Daniel Wojtkowski";"2018-05-15";"2021-12-31";"
    •  budżet - MNiSW

";822829;"Inne programy";"Inny program (Premia na Horyzoncie)";"
    •  Instytut Chemii Fizycznej Polskiej Akademii Nauk

";"
    •  Marcina Kasprzaka 44/52, Warszawa

";"W trakcie realizacji";
"Monumenta Musicae in Polonia – edycje źródłowo-krytyczne i faksymilowe – kontynuacja";"dr hab. Barbara Ewa Przybyszewska-Jarmińska";"2018-05-11";"2023-05-11";"
    •  budżet - MNiSW

";1466400;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki; konkurs 85";"
    •  Instytut Sztuki Polskiej Akademii Nauk

";"
    •  Długa 26/28, Warszawa

";"W trakcie realizacji";
"Dramat polski. Reaktywacja/Kontynuacja";"dr hab. Jacek Dariusz Kopciński";"2018-05-11";"2023-05-11";"
    •  budżet - MNiSW

";1464461;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki";"
    •  Instytut Badań Literackich Polskiej Akademii Nauk

";"
    •  Nowy Świat 72, Warszawa

";"W trakcie realizacji";
"Zaprojektowanie,wytworzenie oraz sprawdzenie skuteczności nowych nośników genu TP53 do zastosowania w terapiach przeciwnowotworowych";"dr hab. Aleksander Ryszard Czogalla";"2018-05-11";"2021-06-30";"
    •  środki przedsiębiorstw krajowych

";510000;"Inne programy";"Inny program (Naukowa Fundacja Polpharmy)";"
    •  Uniwersytet Wrocławski; Wydział Biotechnologii

";"
    •  Fryderyka Joliot-Curie 14a, Wrocław

";"W trakcie realizacji";
"Nieperturbacyjna teoria renormalizacji dla układów wielu oddziałujących ciał";"dr hab. Paweł Marek Jakubczyk";"2018-05-10";"2023-05-09";"
    •  budżet - NCN

";1072800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA BIS; edycja 7";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Polsko-rosyjskie związki literackie w kręgu paryskiej ""Kultury""";"prof. dr hab. Piotr Mitzner";"2018-05-10";"2022-05-10";"
    •  budżet - MNiSW

";1008;48;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki; konkurs 85";"
    •  Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie; Wydział Nauk Humanistycznych

";"
    •  Dewajtis 5, Warszawa

";"W trakcie realizacji"
"Właściwości magnetyczne monokryształów ZnO implantowanych jonami Co igazów szlachetnych - badania RBS";"dr hab. Zbigniew Jerzy Werner";"2018-05-10";"2019-02-28";"
    •  budżet - MNiSW

";;"Inne programy";"Inny program (Program Niemieckiego Instytutu Helmholtz-Zentrum Dresden-Rossendorf)";"
    •  Narodowe Centrum Badań Jądrowych

";"
    •  Andrzeja Sołtana 7, Otwock

";"W trakcie realizacji";
"Badanie mechanizmów wrodzonej infekcji wirusem cytomegalii - replikacji, rozprzestrzeniania się oraz ustalania latencji";"Magdalena Maria Weidner-Glunde";"2018-05-10";"2023-05-09";"
    •  budżet - NCN

";3179500;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA BIS; edycja 7";"
    •  Instytut Rozrodu Zwierząt i Badań Żywności Polskiej Akademii Nauk

";"
    •  Juliana Tuwima 10, Olsztyn

";"W trakcie realizacji";
"Spektroskopia ramanowska fononów akustycznych i optycznych uwięzionych wewnątrz koloidalnych heterostruktur nanokrystalicznych z grupy II-VI";"dr GRZEGORZ ZATRYB";"2018-05-10";"2022-05-09";"
    •  budżet - NCN

";;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA BIS; edycja 7";"
    •  Politechnika Wrocławska; Wydział Podstawowych Problemów Techniki

";"
    •  Stanisława Wyspiańskiego 27, Wrocław

";"W trakcie realizacji";
"Humanistyka i nauki społeczne dla społeczeństwa i przedsiębiorczości";"dr hab. MICHAŁ FEDEROWICZ";"2018-05-09";"2023-05-31";"
    •  inna (Narodowee Centrum Badań i Rozwoju)

";1872544;8;"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"Inny program (Program Operacyjny Wiedza Edukacja Rozwój 2014-2020)";"
    •  Instytut Filozofii i Socjologii Polskiej Akademii Nauk

";"
    •  Nowy Świat 72, Warszawa

";"W trakcie realizacji"
"Wielopoziomowa weryfikacja teorii adaptacji partii politycznych - przypadek Polski";"dr hab. Gagatek Wojciech Remigiusz";"2018-05-08";"2020-05-07";"
    •  budżet - NCN

";318416;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"HARMONIA; edycja 9";"
    •  Uniwersytet Warszawski; Wydział Nauk Politycznych i Studiów Międzynarodowych

";"
    •  Krakowskie Przedmieście 3, Warszawa

";"W trakcie realizacji";
